# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
284404386,0,88,1022,-19460,7376,-13711
284412931,6,62,1030,-20133,9975,-12127
284416486,6,62,1030,-20133,9975,-12127
284421483,-14,61,970,-16493,13737,-11025
284430028,-16,98,905,-7840,14831,-11760
284438363,-16,98,905,-1802,12801,-13746
284438896,-22,152,892,-1802,12801,-13746
284446918,-22,152,892,288,9388,-17666
284447451,-49,176,909,288,9388,-17666
284455472,-49,176,909,-1146,6536,-22890
284456005,-53,160,922,-1146,6536,-22890
284464026,-53,160,922,-883,3920,-26915
284464559,-30,103,899,-883,3920,-26915
284472580,-20,56,888,3727,236,-27965
284481125,-19,51,940,8645,-2703,-28183
284489670,-21,60,1005,6483,-3762,-28096
284498215,-10,55,1028,-446,-2721,-28000
284506759,7,17,999,-7551,-1023,-25812
284515304,17,-8,967,-14087,-770,-21490
284517403,17,-8,967,-14087,-770,-21490
284523856,30,-2,934,-20090,-1242,-16318
284532401,20,-1,898,-23931,-3675,-11690
284540738,20,-1,898,-25138,-9318,-9213
284541271,-21,13,925,-25138,-9318,-9213
284549292,-21,13,925,-24666,-13702,-9931
284549825,-35,48,994,-24666,-13702,-9931
284557847,-35,48,994,-22820,-13273,-10963
284558380,-3,42,1036,-22820,-13273,-10963
284566398,-3,42,1036,-18130,-10736,-10640
284566931,3,29,1041,-18130,-10736,-10640
284574950,-8,48,1056,-13116,-8268,-10246
284583494,-6,81,1041,-10438,-4471,-10998
284592038,-8,76,975,-5678,-2747,-11768
284600582,-4,89,976,778,-2213,-12118
284609126,-18,122,979,1811,-1802,-13571
284617670,-19,101,965,-1898,-3010,-15680
284618522,-19,101,965,-1898,-3010,-15680
284626182,-2,41,944,-5311,-5267,-16231
284634726,2,5,938,-6475,-8618,-14630
284643271,5,25,962,-9931,-11401,-12223
284651608,5,25,962,-14866,-13378,-10710
284652141,7,53,966,-14866,-13378,-10710
284660161,7,53,966,-17526,-14560,-9800
284660694,0,74,976,-17526,-14560,-9800
284668715,0,74,976,-18733,-14306,-10290
284669248,-9,100,1002,-18733,-14306,-10290
284677269,-9,100,1002,-19556,-12521,-11803
284677802,0,128,1008,-19556,-12521,-11803
284685823,0,140,991,-19215,-10631,-13816
284694368,5,130,964,-17281,-9800,-15977
284702912,18,121,941,-13982,-10298,-17867
284711456,41,129,981,-11453,-11760,-19136
284719376,41,129,981,-11453,-11760,-19136
284720007,31,110,1010,-9353,-8758,-20606
284728552,8,102,992,-6081,-8968,-22312
284737097,21,100,1011,-4943,-9607,-24491
284745433,21,100,1011,-6160,-9738,-25646
284745967,19,74,1035,-6160,-9738,-25646
284753988,19,74,1035,-6448,-8531,-25830
284754521,13,57,1046,-6448,-8531,-25830
284762541,13,57,1046,-7280,-6230,-26250
284763075,8,85,1045,-7280,-6230,-26250
284771096,8,85,1045,-12311,-4208,-27606
284771629,0,104,1011,-12311,-4208,-27606
284779650,0,104,1011,-17928,-5048,-28603
284780183,9,86,969,-17928,-5048,-28603
284788204,28,58,972,-19486,-6720,-28166
284796748,43,52,983,-17858,-5976,-26958
284805292,37,84,972,-16073,-5162,-25690
284813837,22,117,973,-14533,-5223,-25873
284820511,22,117,973,-14533,-5223,-25873
284822390,20,113,983,-12556,-4252,-27125
284830934,28,103,960,-10998,-2406,-28262
284839271,28,103,960,-9660,-2100,-28761
284839804,42,92,916,-9660,-2100,-28761
284847825,42,92,916,-7253,52,-28402
284848358,76,74,953,-7253,52,-28402
284856379,76,74,953,-4541,-621,-28376
284856912,21,100,888,-4541,-621,-28376
284864931,21,100,888,-5442,-5162,-30703
284865464,43,139,902,-5442,-5162,-30703
284873485,61,121,928,-6396,-8820,-33363
284882029,70,89,987,-3622,-10911,-35175
284890574,93,70,1037,-367,-9502,-36338
284899117,90,40,1028,2371,-6151,-36741
284907661,87,16,1006,3841,-4445,-36286
284915997,87,16,1006,3272,-3867,-35350
