# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
315679503,-12,12,1003,-201,350,385
315688048,-13,12,1001,-253,393,376
315696592,-12,11,1002,-210,420,350
315705136,-11,10,1003,-192,472,428
315713681,-11,11,1002,-201,463,411
315722017,-11,11,1002,-218,446,385
315722551,-12,12,1002,-218,446,385
315726413,-12,12,1002,-218,446,385
315730579,-12,12,1002,-183,411,393
315731112,-12,12,1002,-183,411,393
315739133,-12,12,1002,-227,463,358
315739666,-12,12,1002,-227,463,358
315747688,-12,12,1002,-262,367,393
315748221,-12,12,1002,-262,367,393
315756243,-12,10,1002,-245,385,367
315764787,-11,11,1001,-210,481,358
315773331,-12,11,1001,-166,420,376
315781875,-12,12,1002,-148,385,350
315790420,-12,12,1003,-175,446,376
315798964,-11,11,1002,-183,455,402
315807508,-11,11,1001,-236,481,411
315815846,-11,11,1001,-262,463,393
315816379,-12,12,1002,-262,463,393
315824400,-12,12,1002,-262,446,393
315824933,-12,11,1000,-262,446,393
315827549,-12,11,1000,-262,446,393
315832962,-12,11,1000,-280,393,437
315833495,-12,11,1002,-280,393,437
315841516,-12,11,1002,-288,411,402
315842049,-12,13,1001,-288,411,402
315850071,-12,11,1002,-280,315,393
315858615,-12,12,1002,-280,393,367
315867159,-13,10,1002,-227,376,385
315875703,-12,11,1003,-227,402,402
315884247,-12,12,1002,-236,350,428
315892791,-12,11,1002,-227,393,411
315901127,-12,11,1002,-253,385,367
315901660,-13,11,1002,-253,385,367
315909681,-13,11,1002,-218,341,376
315910214,-12,11,1001,-218,341,376
315918236,-12,11,1001,-236,411,350
315918769,-11,11,1003,-236,411,350
315926790,-11,11,1003,-245,420,385
315927323,-12,12,1000,-245,420,385
315928483,-12,12,1000,-245,420,385
315935351,-12,11,1003,-210,332,358
315943896,-12,11,1002,-201,367,385
315952440,-12,10,1003,-218,367,385
315960985,-12,12,1002,-253,350,385
315969529,-12,11,1002,-210,358,385
315978074,-12,11,1003,-175,367,385
315986410,-12,11,1003,-236,376,358
315986943,-12,10,1001,-236,376,358
315994962,-12,10,1001,-183,376,376
315995495,-11,11,1002,-183,376,376
316003515,-11,11,1002,-148,428,358
316004048,-12,12,1003,-148,428,358
316012067,-12,12,1003,-227,463,341
316012600,-12,12,1003,-227,463,341
316020621,-13,12,1002,-192,402,332
316029165,-12,11,1001,-236,358,332
316037710,-12,11,1001,-218,463,376
316046255,-12,12,1003,-192,411,341
316054799,-12,12,1003,-227,376,376
316063344,-13,11,1002,-227,446,367
316071889,-11,11,1003,-236,393,358
316080226,-11,11,1003,-210,376,376
316080759,-12,12,1003,-210,376,376
316088780,-12,12,1003,-201,411,358
316089313,-13,12,1001,-201,411,358
316097332,-13,12,1001,-245,367,376
316097866,-13,11,1001,-245,367,376
316105887,-13,11,1001,-192,428,350
316106420,-12,10,1002,-192,428,350
316114440,-12,11,1002,-192,385,385
316122984,-11,11,1002,-201,358,367
316130489,-11,11,1002,-201,358,367
316131536,-12,12,1002,-218,358,367
316140080,-15,16,1000,-770,-183,586
316148625,-5,1,1006,-166,402,288
316156960,-5,1,1006,-192,437,411
316157493,-14,11,1000,-192,437,411
316165515,-14,11,1000,-192,428,350
316166048,-11,13,1000,-192,428,350
316174067,-11,13,1000,-166,367,358
316174600,-13,13,1001,-166,367,358
316182621,-13,13,1001,-192,288,350
316183154,-12,12,1002,-192,288,350
316191175,-11,10,1001,-210,315,350
316199720,-12,11,1003,-183,350,367
316208265,-12,13,1002,-227,393,358
316216810,-12,12,1001,-245,350,393
316225354,-12,13,1002,-245,393,376
316231403,-12,13,1002,-245,393,376
316233698,-12,13,1002,-271,376,350
316234231,-12,12,1002,-271,376,350
316242251,-12,12,1002,-297,376,297
316242784,-12,11,1002,-297,376,297
316250806,-12,11,1002,-280,367,323
316251339,-12,12,1003,-280,367,323
316259357,-12,12,1003,-236,341,341
316259891,-12,11,1001,-236,341,341
316267910,-12,12,1002,-271,367,350
316276455,-12,11,1002,-271,315,306
316284999,-12,12,1002,-245,367,350
316293543,-13,11,1002,-236,376,332
316302087,-11,10,1001,-245,385,350
316310631,-11,10,1001,-210,393,367
316319175,-12,11,1001,-210,402,367
316327720,-12,11,1002,-183,411,393
316332522,-12,11,1002,-183,411,393
316336065,-12,11,1002,-183,402,376
316336598,-12,12,1003,-183,402,376
316344620,-12,12,1003,-140,393,350
316345153,-11,11,1005,-140,393,350
316353173,-11,11,1005,-210,428,367
316353707,-12,11,1002,-210,428,367
316361728,-12,11,1002,-236,437,358
316362261,-12,11,1001,-236,437,358
316370282,-12,12,1000,-253,367,358
316378827,-12,11,1003,-218,393,315
316387371,-12,12,1003,-271,376,332
316395916,-11,11,1004,-262,358,332
316404460,-11,12,1001,-175,402,323
316413005,-12,12,1002,-201,376,358
316421549,-12,12,1000,-218,358,332
316429885,-12,12,1000,-201,376,341
316430418,-12,12,1003,-201,376,341
316433448,-12,12,1003,-201,376,341
316438446,-12,12,1003,-192,385,367
316438979,-12,13,1001,-192,385,367
316446998,-12,13,1001,-227,315,315
316447531,-11,10,1003,-227,315,315
316455552,-11,10,1003,-245,376,350
316456085,-12,12,1003,-245,376,350
316464104,-12,11,1001,-262,332,341
316472649,-13,11,1001,-245,358,341
316481193,-12,10,1002,-227,367,323
316489737,-12,10,1003,-245,332,341
316498281,-12,10,1003,-245,376,341
316506826,-12,11,1001,-227,420,367
316515371,-12,11,1001,-236,411,341
316523915,-12,11,1002,-192,393,411
316532251,-12,11,1002,-210,393,376
316532784,-12,11,1003,-210,393,376
316534361,-12,11,1003,-210,393,376
316540814,-12,11,1003,-218,411,332
316541347,-12,10,1002,-218,411,332
316549368,-12,10,1002,-183,367,350
316549901,-11,12,1003,-183,367,350
316557920,-11,12,1003,-227,402,358
316558453,-12,12,1001,-227,402,358
316566473,-12,12,1001,-253,393,367
316575018,-12,12,1003,-236,393,358
316583563,-12,11,1002,-253,341,350
316592108,-11,12,1003,-192,323,350
316600652,-13,12,1003,-236,367,315
316609197,-11,11,1001,-218,376,350
316617740,-12,11,1003,-227,385,323
316626076,-12,11,1003,-227,402,367
316626609,-12,11,1002,-227,402,367
316634631,-12,11,1002,-210,306,358
316635164,-13,12,1002,-210,306,358
316643184,-13,12,1002,-253,323,323
316643717,-12,11,1002,-253,323,323
316651738,-12,11,1002,-227,306,358
316652272,-12,12,1001,-227,306,358
316660291,-11,12,1002,-218,288,323
316668837,-12,11,1003,-218,253,323
316677381,-11,11,1002,-271,315,306
316685926,-12,11,1003,-245,367,315
316694470,-11,12,1002,-288,393,323
316703015,-12,12,1002,-288,332,315
316711559,-11,10,1001,-227,315,306
316719896,-11,10,1001,-253,411,358
316720429,-11,9,1002,-253,411,358
316728449,-11,9,1002,-201,393,367
316728982,-12,10,1003,-201,393,367
316736378,-12,10,1003,-201,393,367
316737010,-12,10,1003,-183,463,376
316737543,-12,11,1003,-183,463,376
316745563,-12,11,1003,-218,393,367
316746096,-13,11,1002,-218,393,367
316754115,-12,12,1001,-245,332,350
316762660,-11,11,1000,-245,262,332
316771204,-12,12,1002,-262,297,376
316779748,-11,11,1003,-227,315,297
316788292,-12,11,1003,-297,402,367
316796837,-12,13,1003,-262,341,341
316805382,-12,11,1002,-271,350,367
316813926,-11,11,1001,-218,393,341
316822262,-11,11,1001,-210,428,323
316822796,-12,12,1002,-210,428,323
316830815,-12,12,1002,-245,376,350
316831348,-12,11,1001,-245,376,350
316837499,-12,11,1001,-245,376,350
316839377,-12,11,1001,-236,463,332
316839910,-12,10,1000,-236,463,332
316847931,-12,10,1000,-227,358,367
316848464,-12,10,1002,-227,358,367
316856485,-12,12,1003,-210,323,332
316865030,-12,11,1004,-218,315,341
316873574,-12,11,1001,-271,332,350
316882118,-11,10,1002,-183,350,341
316890662,-12,11,1001,-236,376,376
316899205,-12,11,1001,-227,315,376
316907749,-11,11,1002,-210,306,367
316916086,-11,11,1002,-218,393,358
316916619,-11,12,1004,-218,393,358
316924641,-11,12,1004,-192,385,358
316925174,-11,11,1001,-192,385,358
316933195,-11,11,1001,-183,385,323
316933729,-12,11,1002,-183,385,323
316938423,-12,11,1002,-183,385,323
316941757,-12,11,1002,-227,385,323
316942290,-12,10,1002,-227,385,323
316950311,-11,10,1002,-210,306,376
316958856,-12,12,1002,-245,323,323
316967401,-12,12,1002,-210,280,306
316975945,-12,12,1000,-227,288,297
316984490,-10,11,1002,-271,280,297
316993034,-12,11,1003,-183,332,332
317001578,-11,11,1003,-192,350,306
317009914,-11,11,1003,-236,376,341
317010447,-12,11,1002,-236,376,341
317018469,-12,11,1002,-262,420,341
317019002,-12,11,1002,-262,420,341
317027023,-12,11,1002,-175,402,315
317027556,-12,10,1001,-175,402,315
317035577,-12,10,1001,-166,411,315
317036110,-11,10,1002,-166,411,315
317039557,-11,10,1002,-166,411,315
317044139,-11,11,1002,-183,385,315
317052683,-11,12,1001,-253,332,280
317061227,-12,11,1001,-175,315,288
317069772,-11,11,1002,-201,350,332
317078316,-12,11,1003,-236,332,323
317086861,-11,11,1002,-306,297,332
317095197,-11,11,1002,-236,323,367
317095731,-11,12,1004,-236,323,367
317103752,-11,12,1004,-280,262,350
317104285,-12,13,1000,-280,262,350
317112304,-12,13,1000,-271,183,306
317112837,-12,12,1001,-271,183,306
317120858,-12,12,1001,-376,148,280
317121391,-11,11,1003,-376,148,280
317129412,-11,11,1003,-350,183,332
317129945,-11,10,1003,-350,183,332
317137966,-10,10,1004,-280,218,306
317140481,-10,10,1004,-280,218,306
317146518,-12,10,1003,-306,280,358
317155062,-8,8,1000,-175,472,533
317163607,-15,13,1007,-402,175,332
317172151,-12,11,993,-271,236,271
317180488,-12,11,993,-245,236,350
317181021,-11,10,1006,-245,236,350
317189042,-11,10,1006,-253,271,350
317189575,-11,13,1004,-253,271,350
317197597,-11,13,1004,-166,586,638
317198130,-4,8,1000,-166,586,638
317206150,-4,8,1000,-358,323,385
317206683,-19,9,1003,-358,323,385
317214702,-19,9,1003,-218,463,315
317215235,-13,13,997,-218,463,315
317223255,-10,13,1003,-201,437,315
317231799,-12,13,1006,-227,350,332
317240344,-12,12,998,-245,236,288
317241404,-12,12,998,-245,236,288
317248896,-12,11,1002,-288,43,245
317257441,-11,10,1003,-210,227,227
317265777,-11,10,1003,-166,315,280
317266310,-9,8,1003,-166,315,280
317274329,-9,8,1003,-96,402,367
317274863,-9,9,1004,-96,402,367
317282882,-9,9,1004,-52,665,402
317283415,-10,10,1003,-52,665,402
317291434,-10,10,1003,-61,603,385
317291967,-12,12,1001,-61,603,385
317299988,-12,12,1001,-96,533,393
317300522,-12,12,1001,-96,533,393
317308542,-12,12,1001,-210,446,393
317317086,-13,12,1002,-236,262,306
317325631,-11,11,1003,-332,166,245
317334175,-19,18,997,-341,96,52
317342512,-19,18,997,-341,96,52
