# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
251917400,-77,35,1100,-16528,-31220,-971
251917933,-68,44,1094,-16528,-31220,-971
251925954,-68,44,1094,-5031,-26792,350
251926487,-49,77,1089,-5031,-26792,350
251934509,-49,77,1089,2730,-22216,-603
251935042,-35,94,1060,2730,-22216,-603
251943060,-35,94,1060,5652,-20177,-2196
251943593,-24,77,1032,5652,-20177,-2196
251951614,-16,57,1023,3876,-20860,-3412
251960159,-11,56,1037,-1181,-22881,-4637
251968703,-19,62,1065,-9450,-24403,-7008
251977247,-29,41,1077,-19390,-25340,-9555
251985791,-29,21,1088,-27772,-25786,-10981
251994334,-34,-5,1072,-32366,-25628,-11182
251995394,-34,-5,1072,-32366,-25628,-11182
252002886,-27,-45,1036,-29942,-25856,-9108
252011431,-19,-37,1047,-21577,-25882,-4707
252019767,-19,-37,1047,-12652,-23738,-1680
252020300,-10,9,1075,-12652,-23738,-1680
252028320,-10,9,1075,-6860,-20072,-1548
252028853,13,46,1078,-6860,-20072,-1548
252036874,13,46,1078,-3543,-17850,-2756
252037407,26,52,1047,-3543,-17850,-2756
252045428,26,52,1047,-1041,-18200,-3955
252045961,35,48,1047,-1041,-18200,-3955
252053983,35,48,1047,-96,-18558,-5460
252054516,33,61,1085,-96,-18558,-5460
252062536,24,62,1124,-1181,-17386,-7962
252071080,23,46,1148,-3386,-14735,-10535
252079624,19,29,1146,-4891,-11016,-12372
252088167,30,14,1145,-5818,-7980,-12941
252096503,30,14,1145,-5818,-7980,-12941
252096719,37,-5,1124,-6510,-4585,-12573
252105264,45,-29,1092,-5223,-1767,-11261
252113808,53,-21,1080,-3876,17,-9327
252122352,62,-24,1056,-3351,1487,-7735
252130689,62,-24,1056,-1400,1986,-5792
252131222,73,-30,1024,-1400,1986,-5792
252139243,73,-30,1024,691,1321,-3718
252139776,79,-13,1011,691,1321,-3718
252147797,79,-13,1011,1295,175,-2458
252148330,74,7,1020,1295,175,-2458
252156351,74,7,1020,752,-988,-1995
252156884,70,18,1033,752,-988,-1995
252164905,70,18,1033,78,-2038,-1723
252165439,63,21,1059,78,-2038,-1723
252173460,49,30,1089,-516,-1986,-1496
252182005,40,39,1110,-533,-323,-1820
252190548,36,40,1109,455,2581,-2196
252197430,36,40,1109,455,2581,-2196
252199101,32,47,1094,2257,6020,-2371
252207645,29,61,1077,3806,9467,-2878
252216189,38,71,1047,4296,12530,-4366
252224733,58,68,1009,3858,14218,-6658
252233279,65,59,984,2336,13947,-8715
252241616,65,59,984,157,12013,-9887
252242149,65,28,972,157,12013,-9887
252250168,65,28,972,-840,9852,-9817
252250702,75,-28,959,-840,9852,-9817
252258723,75,-28,959,1618,7516,-7472
252259256,80,-85,956,1618,7516,-7472
252267275,80,-85,956,5416,5118,-2992
252267808,72,-107,964,5416,5118,-2992
252275829,72,-107,964,8443,2957,1382
252276362,60,-97,984,8443,2957,1382
