# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
146783972,175,222,1019,39978,-27755,49621
146791991,170,245,1140,34195,-28726,46707
146800535,184,249,1213,25567,-25690,42332
146809079,200,229,1237,15890,-19950,37607
146817622,213,190,1221,6300,-13737,33897
146826165,228,139,1180,157,-8461,33022
146834709,214,109,1137,-446,-4655,35542
146843045,214,109,1137,1067,-1960,38762
146843578,190,140,1096,1067,-1960,38762
146851597,190,140,1096,2931,236,39777
146852130,174,183,1064,2931,236,39777
146854537,174,183,1064,2931,236,39777
146860158,174,183,1064,2712,1470,38780
146860691,148,210,1025,2712,1470,38780
146868712,128,211,976,953,-350,35481
146877256,102,167,993,-577,-4961,31298
146885799,109,116,1062,-1513,-7953,28726
146894343,142,70,1137,-6483,-8347,28980
146902887,148,37,1164,-13116,-5013,28953
146911431,149,-5,1152,-17928,1085,29601
146919974,164,-39,1101,-23458,4585,34571
146928310,164,-39,1101,-20413,10771,36400
146928844,148,-64,1007,-20413,10771,36400
146936865,148,-64,1007,-9073,14376,40337
146937398,159,-117,906,-9073,14376,40337
146945419,159,-117,906,175,10062,47897
146945952,126,-100,866,175,10062,47897
146953970,126,-100,866,5293,5416,52141
146954504,104,-66,925,5293,5416,52141
146955456,104,-66,925,5293,5416,52141
146962532,121,-53,981,10237,4830,54276
146971075,120,-28,1028,15128,7402,57408
146979619,73,20,1080,17902,10132,59561
146988162,63,58,1141,14971,13720,59307
146996706,67,70,1151,9450,19197,56927
147005043,67,70,1151,2432,23791,54766
147005576,59,41,1134,2432,23791,54766
147013597,59,41,1134,-4786,26985,53690
147014130,72,25,1093,-4786,26985,53690
147022149,72,25,1093,-9633,28743,52823
147022682,82,-6,1045,-9633,28743,52823
147030703,82,-6,1045,-12188,29076,53208
147031236,101,-35,1008,-12188,29076,53208
147039256,123,-54,996,-10990,28918,54582
147047800,145,-40,1008,-8093,29321,56901
147056344,159,5,1017,-5932,30642,58178
147064889,171,37,1008,-5451,31596,57557
147073226,171,37,1008,-4628,31351,56350
147073759,186,36,999,-4628,31351,56350
147081778,186,36,999,-4182,29855,56341
147082311,191,28,990,-4182,29855,56341
147090331,191,28,990,-5197,27352,56875
147090864,181,37,977,-5197,27352,56875
147098885,181,37,977,-5556,24342,56665
147099418,163,33,963,-5556,24342,56665
147107437,159,1,975,-4418,21533,56420
147115980,166,-26,992,-3246,20063,57697
147124524,171,-36,982,-2423,19477,59815
147133069,177,-28,942,-87,18733,61880
147141613,185,-30,898,3351,16975,63105
147150156,192,-38,858,7822,13938,64925
147157452,192,-38,858,7822,13938,64925
147158499,192,-38,858,14455,9800,66718
147159032,186,-34,826,14455,9800,66718
147167051,186,-34,826,22470,5031,68416
147167584,174,-26,825,22470,5031,68416
147175604,174,-26,825,28866,61,69737
147176137,163,4,849,28866,61,69737
147184157,163,4,849,34195,-4812,69903
147184690,142,34,889,34195,-4812,69903
147192711,118,74,953,38088,-9240,69396
147201255,101,114,1025,41405,-12048,68136
147209800,82,170,1107,42936,-12853,65318
147218343,58,226,1174,39445,-11383,59911
147226887,53,241,1224,32383,-8338,52211
147235432,55,217,1233,24631,-4130,44240
147243767,55,217,1233,15758,-315,37100
147244301,65,182,1230,15758,-315,37100
147252321,65,182,1230,7883,3806,30747
147252854,77,134,1211,7883,3806,30747
147258378,77,134,1211,7883,3806,30747
147260881,77,134,1211,1785,7831,26092
147261414,101,64,1184,1785,7831,26092
147269435,101,64,1184,-2476,11716,24937
147269968,129,4,1145,-2476,11716,24937
147277986,134,-28,1088,-6387,14455,25970
147286530,135,-43,1022,-9607,15986,27536
147295074,129,-66,966,-9266,16380,29373
147303617,128,-63,930,-7393,16038,32156
147312160,125,-48,914,-4436,15233,34160
147320704,112,-24,913,-2616,14586,35761
147329040,112,-24,913,-1872,14708,36146
147329574,104,-3,913,-1872,14708,36146
147337592,104,-3,913,78,15417,35770
147338125,99,6,889,78,15417,35770
147346145,99,6,889,2791,15408,34921
147346678,98,15,867,2791,15408,34921
147354698,98,15,867,6763,14857,34230
147355231,97,12,849,6763,14857,34230
147359510,97,12,849,6763,14857,34230
147363260,96,19,840,10290,13378,34203
147371804,90,34,833,12486,11095,33477
147380348,88,36,835,12171,7455,32392
147388892,87,31,864,11558,3097,31613
147397437,83,26,913,11690,-533,31368
147405981,84,25,968,11786,-2450,31552
147414316,84,25,968,10876,-2817,31753
147414849,86,25,1014,10876,-2817,31753
147422870,86,25,1014,10570,-1758,32243
147423403,86,26,1045,10570,-1758,32243
147431423,86,26,1045,10911,411,32900
147431956,93,40,1068,10911,411,32900
147439976,93,40,1068,11007,3220,33451
147440509,104,62,1070,11007,3220,33451
147448529,113,81,1049,10780,5398,33556
147457074,124,99,1018,12092,6186,33897
147460420,124,99,1018,12092,6186,33897
147465625,134,131,1015,14568,5171,34492
147474167,140,165,1033,16388,3473,34422
147482711,128,193,1073,16555,2073,33670
147491046,128,193,1073,13518,1732,32086
147491580,104,233,1127,13518,1732,32086
147499600,104,233,1127,10045,3185,27571
147500133,71,288,1140,10045,3185,27571
147508152,71,288,1140,6982,5206,19783
147508686,39,291,1151,6982,5206,19783
147516707,29,260,1172,323,7183,12232
147525252,45,210,1175,-10465,9143,5565
147533795,56,148,1151,-20510,11033,533
147542339,77,81,1109,-27868,13370,-1837
147550882,94,20,1054,-30450,15207,-831
147559426,123,31,1006,-30642,15487,1732
147561525,123,31,1006,-30642,15487,1732
147567770,123,31,1006,-27693,15741,3290
147568303,117,6,946,-27693,15741,3290
147576322,117,6,946,-23388,13562,6326
147576855,129,-4,908,-23388,13562,6326
147584877,129,-4,908,-19635,10902,10631
147585410,145,-11,922,-19635,10902,10631
147593431,129,-4,935,-16598,8400,16572
147601974,111,16,951,-14927,7026,22601
147610518,93,59,935,-11567,6046,27168
147619062,57,12,996,-11208,4637,31193
147627605,82,-199,1226,-32226,8487,48693
147636148,243,36,1136,-55203,12521,72187
147644484,243,36,1136,-55483,23152,77096
147645017,40,-18,1174,-55483,23152,77096
147653036,40,-18,1174,-47678,21708,77271
147653570,89,281,877,-47678,21708,77271
147661591,89,281,877,-22680,18165,59823
147662124,-93,198,884,-22680,18165,59823
147670143,19,181,901,-28428,3745,52141
147678687,61,26,1013,-41160,-271,51135
147687232,161,50,1024,-66893,-4357,63638
